"TABLE_NAME","COLUMN_NAME",
"USER_ATTRIBUTE_DIM_LEVEL_ATTRS","ORIGIN_CON_ID",
"ALL_ATTRIBUTE_DIM_LEVEL_ATTRS","ORIGIN_CON_ID",
"USER_ATTRIBUTE_DIM_JOIN_PATHS","ORIGIN_CON_ID",
"ALL_ATTRIBUTE_DIM_JOIN_PATHS","ORIGIN_CON_ID",
"USER_HIER_JOIN_PATHS","ORIGIN_CON_ID",
"ALL_HIER_JOIN_PATHS","ORIGIN_CON_ID",
"USER_SOURCE","ORIGIN_CON_ID",
"USER_SOURCE_AE","ORIGIN_CON_ID",
"ALL_SOURCE","ORIGIN_CON_ID",
"ALL_SOURCE_AE","ORIGIN_CON_ID",
"ALL_PROPAGATION","ORIGINAL_SOURCE_QUEUE_NAME",
"ALL_PROPAGATION","ORIGINAL_SOURCE_QUEUE_OWNER",
"ALL_PROPAGATION","ORIGINAL_PROPAGATION_NAME",
"ALL_STREAMS_RULES","ORIGINAL_RULE_CONDITION",
"KU$_DATAPUMP_MASTER_12_2","ORIGINAL_OBJECT_NAME",
"KU$_DATAPUMP_MASTER_12_2","ORIGINAL_OBJECT_SCHEMA",
"KU$_DATAPUMP_MASTER_12_0","ORIGINAL_OBJECT_SCHEMA",
"KU$_DATAPUMP_MASTER_12_0","ORIGINAL_OBJECT_NAME",
"KU$_DATAPUMP_MASTER_11_2","ORIGINAL_OBJECT_NAME",
"KU$_DATAPUMP_MASTER_11_2","ORIGINAL_OBJECT_SCHEMA",
"KU$_DATAPUMP_MASTER_11_1_0_7","ORIGINAL_OBJECT_NAME",
"KU$_DATAPUMP_MASTER_11_1_0_7","ORIGINAL_OBJECT_SCHEMA",
"KU$_DATAPUMP_MASTER_11_1","ORIGINAL_OBJECT_SCHEMA",
"KU$_DATAPUMP_MASTER_10_1","ORIGINAL_OBJECT_SCHEMA",
"USER_MVREF_RUN_STATS","OUT_OF_PLACE",
"USER_SDO_NETWORK_LOCKS_WM","ORIGINAL_LINK_FILTER",
"USER_SDO_NETWORK_LOCKS_WM","ORIGINAL_PATH_FILTER",
"USER_SDO_NETWORK_LOCKS_WM","ORIGINAL_NODE_FILTER",
"ALL_SDO_NETWORK_LOCKS_WM","ORIGINAL_PATH_FILTER",
"ALL_SDO_NETWORK_LOCKS_WM","ORIGINAL_LINK_FILTER",
"ALL_SDO_NETWORK_LOCKS_WM","ORIGINAL_NODE_FILTER",
"USER_ORDS_MODULES","ORIGINS_ALLOWED",
"USER_ORDS_CLIENTS","ALLOWED_ORIGINS",
